epoch,accuracy,loss,val_accuracy,val_loss
0,0.4496527910232544,1.6483054161071777,0.640625,1.1911985874176025
1,0.7682291865348816,0.8042287826538086,0.734375,0.8360239267349243
2,0.8671875,0.5253401398658752,0.7734375,0.7456216812133789
3,0.9131944179534912,0.3763980567455292,0.8515625,0.5714296698570251
4,0.9444444179534912,0.2892226576805115,0.828125,0.5313727259635925
5,0.953125,0.24815304577350616,0.8515625,0.5537742972373962
6,0.9635416865348816,0.227422297000885,0.8828125,0.46314796805381775
7,0.9730902910232544,0.1940934956073761,0.875,0.43145737051963806
8,0.9756944179534912,0.15470120310783386,0.8828125,0.4257545471191406
9,0.984375,0.13163435459136963,0.8828125,0.4370812475681305
10,0.9809027910232544,0.1464785486459732,0.8828125,0.39283883571624756
11,0.9904513955116272,0.11691108345985413,0.8984375,0.4334176480770111
12,0.9947916865348816,0.09481923282146454,0.8984375,0.40871477127075195
13,0.9991319179534912,0.07628007978200912,0.8984375,0.3981121778488159
14,1.0,0.0681825801730156,0.8828125,0.4398462176322937
15,0.9956597089767456,0.07513124495744705,0.890625,0.41937610507011414
16,0.9991319179534912,0.06633514910936356,0.890625,0.41700032353401184
17,0.9965277910232544,0.06443087011575699,0.90625,0.38690823316574097
18,0.9991319179534912,0.06543555855751038,0.90625,0.37211939692497253
19,0.9939236044883728,0.07797118276357651,0.8828125,0.47147056460380554
20,0.9973958134651184,0.06435021013021469,0.890625,0.40231072902679443
21,0.9739583134651184,0.15443259477615356,0.84375,0.5755100846290588
22,0.9201388955116272,0.3158997893333435,0.921875,0.43142998218536377
23,0.9748263955116272,0.15910717844963074,0.8984375,0.49698078632354736
24,0.9861111044883728,0.10678530484437943,0.921875,0.36501210927963257
25,0.9913194179534912,0.08545093238353729,0.90625,0.3668549656867981
26,0.9991319179534912,0.056548893451690674,0.90625,0.37745004892349243
27,1.0,0.04705982282757759,0.9140625,0.3781975209712982
28,1.0,0.04497070237994194,0.9140625,0.3689315915107727
29,1.0,0.04230586439371109,0.9140625,0.3692226707935333
